Entry ID,Crystallization Method,Temp (K),pH,Matthews Coefficient,Percent Solvent Content,Component_1_Name,Component_1_Conc,Component_1_pH
8OTK,"VAPOR DIFFUSION, SITTING DROP",289.15,4.5,2.25,45.35,LITHIUM SULFATE,45.35,4.5
8OTP,"VAPOR DIFFUSION, HANGING DROP",296.0,8.0,2.1,41.49,SODIUM CITRATE,41.49,8.0
8OUB,"VAPOR DIFFUSION, HANGING DROP",296.0,8.499939234755448,2.11,41.81,SODIUM CITRATE,41.81,8.499939234755448
8P5B,"VAPOR DIFFUSION, SITTING DROP",293.0,6.4799999999999995,2.6,52.68,"SODIUM FORMATE 0.1M AMMONIUM 
ACETATE 0.1M SODIUM CITRATE TRIBASIC 
DIHYDRATE 0.1M POTASSIUM SODIUM TARTRATE 
TETRAHYDRATE 0.1M SODIUM OXAMATE",52.68,6.4799999999999995
8QCU,"VAPOR DIFFUSION, SITTING DROP",290.15,4.5,2.13,42.38,HEWL,42.38,4.5
8QMH,"VAPOR DIFFUSION, SITTING DROP",292.0,6.0,1.92,35.78,NACL,35.78,6.0
8SH6,"VAPOR DIFFUSION, SITTING DROP",292.0,9.5,2.15,42.8,CHES,42.8,9.5
8SH8,"VAPOR DIFFUSION, SITTING DROP",292.0,9.5,2.08,40.97,CHES,40.97,9.5
8VFL,"VAPOR DIFFUSION, HANGING DROP",298.0,6.4799999999999995,2.23,44.86,24-30% PEG 4000,44.86,6.4799999999999995
8VFN,"VAPOR DIFFUSION, HANGING DROP",298.0,6.3,2.23,44.82,24-30% PEG 4000,44.82,6.3
8VFO,"VAPOR DIFFUSION, HANGING DROP",298.0,6.6,1.99,38.22,20-28% PEG 4000,38.22,6.6
8VFW,"VAPOR DIFFUSION, HANGING DROP",298.0,5.731834097360395,2.34,47.35,26-32% PEG 4000,47.35,5.731834097360395
8VG7,"VAPOR DIFFUSION, HANGING DROP",298.0,6.7,2.11,41.76,28-30% PEG 4000,41.76,6.7
8VG8,"VAPOR DIFFUSION, HANGING DROP",298.0,6.5,2.1,41.4,28-30% PEG 4000,41.4,6.5
8XIF,"VAPOR DIFFUSION, SITTING DROP",290.0,7.903720945781283,2.12,42.04,MAGNESIUM FORMATE DIHYDRATE,42.04,7.903720945781283
9AZX,"VAPOR DIFFUSION, HANGING DROP",293.0,8.0,2.19,44.0,TRIS-HCL,44.0,8.0
9BHS,"VAPOR DIFFUSION, SITTING DROP",291.0,7.0,2.17,43.33,PEG2000 MONOETHYL ETHER,43.33,7.0
9EN6,"VAPOR DIFFUSION, SITTING DROP",292.0,6.5,1.65,25.27,MAGNESIUM ACETATE TETRAHYDRATE,25.27,6.5
7H2T,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.49,MES,48.49,6.05
7H2U,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.32,MES,48.32,6.05
7H2V,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.45,MES,48.45,6.05
7H2W,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.4,48.66,MES,48.66,6.05
7H2X,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.45,MES,48.45,6.05
7H2Y,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.61,MES,48.61,6.05
7H2Z,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.32,MES,48.32,6.05
7H30,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.41,MES,48.41,6.05
7H32,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.47,50.27,MES,50.27,6.05
7H33,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.35,MES,48.35,6.05
7H34,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.98,MES,47.98,6.05
7H36,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.49,MES,48.49,6.05
7H37,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.23,MES,48.23,6.05
7H38,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.15,42.88,MES,42.88,6.05
7H39,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.47,50.23,MES,50.23,6.05
7H3A,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.16,43.05,MES,43.05,6.05
7H3B,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.05,MES,48.05,6.05
7H3C,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.38,MES,48.38,6.05
7H3D,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.18,43.46,MES,43.46,6.05
7H3E,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.48,MES,48.48,6.05
7H3G,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.38,MES,48.38,6.05
7H3H,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.46,50.1,MES,50.1,6.05
7H3I,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.37,MES,48.37,6.05
7H3J,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.37,MES,48.37,6.05
7H3K,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.32,MES,48.32,6.05
7H3L,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.05,MES,48.05,6.05
7H3M,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.16,43.14,MES,43.14,6.05
7H3N,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.84,MES,47.84,6.05
7H3Q,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.43,MES,48.43,6.05
7H3R,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.49,MES,48.49,6.05
7H3S,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.54,MES,48.54,6.05
7H3T,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.6,MES,48.6,6.05
7H3U,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.16,43.1,MES,43.1,6.05
7H3V,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.97,MES,47.97,6.05
7H3W,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.41,48.94,MES,48.94,6.05
7H3X,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.17,43.34,MES,43.34,6.05
7H3Y,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.5,MES,48.5,6.05
7H3Z,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.36,MES,48.36,6.05
7H40,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.37,MES,48.37,6.05
7H42,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.59,MES,48.59,6.05
7H43,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.48,MES,48.48,6.05
7H44,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.5,50.83,MES,50.83,6.05
7H45,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.59,MES,48.59,6.05
7H47,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.45,MES,48.45,6.05
7H48,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.92,MES,47.92,6.05
7H4A,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.08,MES,48.08,6.05
7H4B,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.82,MES,47.82,6.05
7H4C,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.15,42.81,MES,42.81,6.05
7H4F,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.14,MES,48.14,6.05
7H4H,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.9,MES,47.9,6.05
7H4K,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.21,44.24,MES,44.24,6.05
7H4M,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.12,41.95,MES,41.95,6.05
7H4P,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.13,MES,48.13,6.05
7H4R,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.14,MES,48.14,6.05
7H4S,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.28,MES,48.28,6.05
7H50,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.14,MES,48.14,6.05
7H51,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.4,MES,48.4,6.05
7H52,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.06,MES,48.06,6.05
7H53,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.22,MES,48.22,6.05
7H54,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.16,MES,48.16,6.05
7H55,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.17,MES,48.17,6.05
8I0J,"VAPOR DIFFUSION, HANGING DROP",291.15,7.5,2.21,44.26,PACT G10 20% W/V PEG3350;100MM BIS-TRIS PROPANE,44.26,7.5
8I12,"VAPOR DIFFUSION, HANGING DROP",291.0,6.5,2.02,39.0,JCSG4-60 0.1 M HEPES,39.0,6.5
8J3Y,"VAPOR DIFFUSION, SITTING DROP",283.0,7.332296187369912,2.39,48.62,MAGNESIUM CHLORIDE,48.62,7.332296187369912
8J5H,"VAPOR DIFFUSION, SITTING DROP",293.0,7.155458215348324,2.08,40.97,CITRATE,40.97,7.155458215348324
8OKG,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.08,40.85,SODIUM CITRATE,40.85,7.8
8TN6,"VAPOR DIFFUSION, HANGING DROP",298.0,6.02061087945985,2.5,50.73,AMMONIUM SULFATE,50.73,6.02061087945985
8TNB,"VAPOR DIFFUSION, HANGING DROP",298.0,6.4,2.44,49.62,AMMONIUM SULFATE,49.62,6.4
8TNC,"VAPOR DIFFUSION, HANGING DROP",298.0,5.959999999999999,2.5,50.88,AMMONIUM SULFATE,50.88,5.959999999999999
8TND,"VAPOR DIFFUSION, HANGING DROP",298.0,6.099589987408375,2.47,50.28,AMMONIUM SULFATE,50.28,6.099589987408375
8YLA,"VAPOR DIFFUSION, HANGING DROP",289.0,5.963879468992848,2.05,40.02,MAGNESIUM FORMATE AND 20% W/V PEG3350,40.02,5.963879468992848
8YTS,"VAPOR DIFFUSION, HANGING DROP",288.0,3.5,2.3459999999999996,43.76200000000001,CITRIC ACID,43.76200000000001,3.5
8YU5,"VAPOR DIFFUSION, HANGING DROP",288.0,3.5,2.2,44.03,HEPES,44.03,3.5
9ART,"VAPOR DIFFUSION, SITTING DROP",298.0,6.9,2.05,40.04,HEPES,40.04,7.5
8FKC,"VAPOR DIFFUSION, SITTING DROP",293.0,6.5,2.19,43.93,AMMONIUM SULFATE,43.93,6.5
8G90,"VAPOR DIFFUSION, HANGING DROP",294.0,7.0880455865489065,1.86,33.77,BIS-TRIS,33.77,6.5
8G91,"VAPOR DIFFUSION, HANGING DROP",294.0,6.725997472835761,2.38,48.27,AMMONIUM ACETATE,48.27,6.725997472835761
8GC6,"VAPOR DIFFUSION, SITTING DROP",298.0,7.762535143318891,2.25,45.4,SODIUM/POTASSIUM PHOSPHATE,45.4,7.762535143318891
8GF3,"VAPOR DIFFUSION, SITTING DROP",293.0,8.0,2.5,50.86,SODIUM FORMATE,50.86,8.0
8JOR,"VAPOR DIFFUSION, HANGING DROP",293.0,6.92,2.3,46.56,PEG 3350,46.56,6.92
8K4I,"VAPOR DIFFUSION, HANGING DROP",291.15,7.499929667978853,2.1,41.53,PEG3350,41.53,7.499929667978853
8QJZ,VAPOR DIFFUSION,293.0,7.5,2.97,58.57,"MORPHEUS III (G7)
1.2 % CHOLIC ACID DERIVATIVES MIX 
0.1 M BUFFER SYSTEM 2 7.5 
50 % PRECIPITANT MIX 3",58.57,7.5
8RHR,"VAPOR DIFFUSION, SITTING DROP",291.2,7.221167030812424,2.54,51.54,1 UL OF PROTEIN SOLUTION (10 UG/UL) WAS MIXED WITH 1 UL RESERVOIR SOLUTION (0.17 M AMMONIUM SULFATE,51.54,7.221167030812424
8RUE,"VAPOR DIFFUSION, HANGING DROP",292.0,9.0,2.56,52.01,PEG 3350,52.01,9.0
8T41,"VAPOR DIFFUSION, SITTING DROP",293.0,8.5,2.43,49.45,PEG3350,49.45,8.5
8VAW,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.19,43.78,SODIUM CHLORIDE,43.78,7.5
8VAX,"VAPOR DIFFUSION, SITTING DROP",293.0,8.5,2.2,44.06,W/V 1,44.06,8.5
9BCB,"VAPOR DIFFUSION, SITTING DROP",293.0,5.0,2.07,40.72,SODIUM MALONATE,40.72,5.0
8IZC,"VAPOR DIFFUSION, HANGING DROP",293.0,6.9799999999999995,2.54,51.48,SODIUM SULPHATE,51.48,6.9799999999999995
8OKE,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.07,40.61,SODIUM CITRATE,40.61,7.8
8OKJ,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.04,39.57,SODIUM CITRATE,39.57,7.8
8OKO,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.06,40.39,SODIUM CITRATE,40.39,7.8
8OKP,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.07,40.6,SODIUM CITRATE,40.6,7.8
8OKQ,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.09,41.06,SODIUM CITRATE,41.06,7.8
8OKY,"VAPOR DIFFUSION, HANGING DROP",293.0,8.2,1.92,36.0,TRIS/HCL,36.0,8.2
8OLA,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.06,40.41,SODIUM CITRATE,40.41,7.8
8OLF,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.06,40.28,SODIUM CITRATE,40.28,7.8
8OLH,"VAPOR DIFFUSION, HANGING DROP",291.0,6.999999999999999,1.93,36.13,1:1 RATIO OF 15 MG/ML PROTEIN SOLUTION WITH A PRECIPITANT SOLUTION CONTAINING 20% PEG 6000,36.13,6.999999999999999
8OLI,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.07,40.47,SODIUM CITRATE,40.47,7.8
8OLK,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.08,40.85,SODIUM CITRATE,40.85,7.8
8OLP,"VAPOR DIFFUSION, HANGING DROP",291.0,7.0,1.91,35.64,1:1 RATIO OF A 15 MG/ML PROTEIN SOLUTION WITH A PRECIPITANT SOLUTION CONTAINING 20% PEG 6000,35.64,7.0
8OMB,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.08,40.77,SODIUM CITRATE,40.77,7.8
8OMH,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.07,40.71,SODIUM CITRATE,40.71,7.8
8OMN,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.08,40.8,SODIUM CITRATE,40.8,7.8
8OMP,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.08,40.98,SODIUM CITRATE,40.98,7.8
8OO8,"VAPOR DIFFUSION, SITTING DROP",294.0,6.115940886884434,2.15,42.73,"A 9 0.06 M DIVALENTS 0.1 M BUFFER SYSTEM 3 8.5 30 % V/V PRECIPITANT MIX 1

0.06 M MAGNESIUM CHLORIDE HEXAHYDRATE; 0.06 M CALCIUM CHLORIDE DIHYDRATE",42.73,6.115940886884434
9B8E,"VAPOR DIFFUSION, SITTING DROP",277.0,7.0,2.28,46.1,PEG 1,46.1,7.0
8B4G,"VAPOR DIFFUSION, SITTING DROP",293.0,6.2,2.23,44.81,HEPES,44.81,7.5
8B96,"VAPOR DIFFUSION, HANGING DROP",298.15,6.490354601788569,2.02,39.22,NANO3,39.22,6.490354601788569
8B98,"VAPOR DIFFUSION, HANGING DROP",298.15,6.330809859128752,2.05,40.13,NANO3,40.13,6.330809859128752
8OHB,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.36,47.88,HEPES,47.88,7.5
8OHC,"VAPOR DIFFUSION, HANGING DROP",293.0,7.5,2.38,48.25,HEPES,48.25,7.5
8OHE,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.37,48.17,HEPES,48.17,7.5
8OHF,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.37,48.04,HEPES,48.04,7.5
8OHG,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.37,48.1,HEPES,48.1,7.5
8OHH,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.42,49.09,HEPES,49.09,7.5
8OHJ,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.38,48.23,HEPES,48.23,7.5
8OHK,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.37,48.01,HEPES,48.01,7.5
8OHL,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.35,47.59,HEPES,47.59,7.5
8OHO,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.37,48.16,HEPES,48.16,7.5
8OJW,"VAPOR DIFFUSION, SITTING DROP",298.0,4.0,2.34,47.54,"AMMONIUM SULFATE
0.1 M SODIUM ACETATE

-> SOAKING EXPERIMENT BY PH ADJUSTMENT TO",47.54,6.0
8OK1,"VAPOR DIFFUSION, HANGING DROP",293.0,5.64,2.1580000000000004,43.290000000000006,HEPES,43.290000000000006,7.5
8PB3,"VAPOR DIFFUSION, HANGING DROP",277.0,8.5,2.45,49.8,TRIS/HCL,49.8,8.5
8PB4,"VAPOR DIFFUSION, HANGING DROP",277.0,8.5,2.25,45.4,TRIS/HCL,45.4,8.5
8PB5,"VAPOR DIFFUSION, HANGING DROP",277.0,8.5,2.25,45.4,TRIS/HCL,45.4,8.5
8PB6,"VAPOR DIFFUSION, HANGING DROP",277.0,8.5,2.26,45.5,TRIS/HCL,45.5,8.5
8PB7,"VAPOR DIFFUSION, HANGING DROP",277.0,8.5,2.26,45.5,TRIS/HCL,45.5,8.5
8Q5J,"VAPOR DIFFUSION, SITTING DROP",289.15,6.491460049305156,2.43,49.5,MAGNESIUM FORMATE DIHYDRATE,49.5,6.491460049305156
8QXQ,"VAPOR DIFFUSION, HANGING DROP",277.0,8.5,2.27,45.78,TRIS/HCL,45.78,8.5
8RMO,"VAPOR DIFFUSION, SITTING DROP",293.0,8.0,2.46,50.08,TRIS 8 PH,50.08,8.0
8RQP,LIPIDIC CUBIC PHASE,293.0,7.3,2.26,45.6,34-41 %(V/V) PEG400,45.6,7.3
8SAF,"VAPOR DIFFUSION, HANGING DROP",293.0,7.8,2.08,40.83,SODIUM CITRATE,40.83,7.8
8T2M,"VAPOR DIFFUSION, HANGING DROP",293.0,7.1,2.15,42.66,SODIUM ACETATE:HCL,42.66,7.1
8UOR,"VAPOR DIFFUSION, SITTING DROP",293.0,6.5,2.06,40.28,0.2 UL 17 MG/ML PROTEIN IN 50 MM HEPES,40.28,6.5
8UOU,"VAPOR DIFFUSION, SITTING DROP",293.0,8.05,1.9,35.4,0.2 UL 19 MG/ML PROTEIN IN 50 MM HEPES,35.4,8.05
8UP9,"VAPOR DIFFUSION, SITTING DROP",293.0,6.4,2.05,39.9,0.2 UL 16 MG/ML PROTEIN IN 50 MM HEPES,39.9,6.4
8UPC,"VAPOR DIFFUSION, SITTING DROP",293.0,7.3,2.05,39.97,0.2 UL 18 MG/ML PROTEIN IN 50 MM HEPES,39.97,7.3
8USS,"VAPOR DIFFUSION, SITTING DROP",296.0,8.5,2.48,50.46,W/V PEG 8K,50.46,8.5
8VIJ,"VAPOR DIFFUSION, HANGING DROP",293.0,6.5,2.09,38.1,PEG MME 2000,38.1,6.5
8X2V,"VAPOR DIFFUSION, SITTING DROP",293.0,5.6,1.8,31.54,1 UL OF ANC4+LOOP II+P12K/N13H (6.0 MG/ML IN 10 MM SODIUM ACETATE,31.54,5.0
8X2W,"VAPOR DIFFUSION, SITTING DROP",293.0,6.68,1.79,31.36,1 UL OF ANC4+LOOP II+P12K/N13H/S58T/N193G/Y194F/D197R (6.0 MG/ML IN 10 MM SODIUM ACETATE,31.36,5.0
8ITX,"VAPOR DIFFUSION, SITTING DROP",293.0,7.074847249302219,1.62,24.26,BUFFER = 0.1M TRIS (7.8),24.26,7.074847249302219
8ITZ,"VAPOR DIFFUSION, SITTING DROP",293.0,7.699999999999999,1.65,25.64,BUFFER = 0.1M TRIS (7.8),25.64,7.699999999999999
8K14,"VAPOR DIFFUSION, HANGING DROP",277.0,7.5,2.21,44.26,HEPES,44.26,7.5
8KI0,"VAPOR DIFFUSION, SITTING DROP",293.0,7.0,2.32,47.08,TRIS-HCL (,47.08,7.0
8OE3,"VAPOR DIFFUSION, SITTING DROP",291.0,5.7,1.77,30.51,2 UL 40 MM SODIUM CACODYLATE,30.51,5.7
8OF3,VAPOR DIFFUSION,292.0,7.5,3.72,66.9,LISO4,66.9,7.5
8OGF,"VAPOR DIFFUSION, HANGING DROP",296.0,8.5,2.11,41.6,SODIUM CITRATE,41.6,8.5
8OGK,"VAPOR DIFFUSION, SITTING DROP",293.0,8.05,2.36,47.94,HEPES,47.94,7.5
8OGM,"VAPOR DIFFUSION, SITTING DROP",293.0,7.359999999999999,2.4,48.72,HEPES,48.72,7.5
8OGN,"VAPOR DIFFUSION, SITTING DROP",293.0,7.424999999999999,2.36,47.93,HEPES,47.93,7.5
8OGO,"VAPOR DIFFUSION, SITTING DROP",293.0,6.779999999999999,2.36,47.82,HEPES,47.82,7.5
8OGP,"VAPOR DIFFUSION, SITTING DROP",293.0,6.959999999999999,2.36,47.86,HEPES,47.86,7.5
8OGQ,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.36,47.88,HEPES,47.88,7.5
8OGR,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.36,47.99,HEPES,47.99,7.5
8OGS,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.35,47.77,HEPES,47.77,7.5
8OGU,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.36,47.89,HEPES,47.89,7.5
8OGV,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.36,47.9,HEPES,47.9,7.5
8OGW,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.37,48.16,HEPES,48.16,7.5
8OGY,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.37,48.15,HEPES,48.15,7.5
8OGZ,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.37,48.18,HEPES,48.18,7.5
8OH0,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.37,48.12,HEPES,48.12,7.5
8OH1,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.38,48.42,HEPES,48.42,7.5
8P37,"VAPOR DIFFUSION, SITTING DROP",295.0,7.831454157550137,2.13,42.14,SYNGUAB3-C222S CRYSTALS WERE GROWN IN THE PRESENCE OF IMP AND NAD+ IN MOTHER LIQUOR FROM THE CONDITION 2-48 OF THE COMMERCIAL SCREEN MORPHEUS (MOLECULAR DIMENSIONS),42.14,7.831454157550137
8PAE,"VAPOR DIFFUSION, SITTING DROP",293.0,7.8,2.112,49.616,BIS TRIS,49.616,7.8
8QUK,"VAPOR DIFFUSION, SITTING DROP",290.0,8.5,2.64,53.47,TRIS BUFFER,53.47,8.5
8SVG,"VAPOR DIFFUSION, SITTING DROP",293.0,6.4,1.89,34.99,MES,34.99,6.4
8SVH,"VAPOR DIFFUSION, SITTING DROP",296.0,8.499846309781725,1.89,34.94,MES,34.94,6.6
8SVI,"VAPOR DIFFUSION, SITTING DROP",296.0,8.5,1.88,34.52,MES,34.52,6.0
8TW1,MICROBATCH,295.0,5.0,1.98,37.74,LITHIUM CHLORIDE,37.74,5.0
9B1Z,"VAPOR DIFFUSION, SITTING DROP",291.0,8.5,1.99,38.12,PEG 3350,38.12,8.5
